Date,Holiday,State,Status
2026-01-26,Republic Day,Andaman And Nicobar Islands,Closed
2026-02-15,Maha Shivratri,Andaman And Nicobar Islands,Closed
2026-03-04,Holi,Andaman And Nicobar Islands,Closed
2026-03-21,Eid al-Fitr,Andaman And Nicobar Islands,Closed
2026-03-27,Ram Navami,Andaman And Nicobar Islands,Closed
2026-04-01,Annual Closing of Bank Accounts,Andaman And Nicobar Islands,Closed
2026-04-03,Good Friday,Andaman And Nicobar Islands,Closed
2026-05-01,Buddha Purnima,Andaman And Nicobar Islands,Closed
2026-05-27,Eid al-Zuha,Andaman And Nicobar Islands,Closed
2026-06-26,Muharram,Andaman And Nicobar Islands,Closed
2026-08-15,Independence Day,Andaman And Nicobar Islands,Closed
2026-08-25,Eid-e-Milad,Andaman And Nicobar Islands,Closed
2026-10-02,Mahatma Gandhi Jayanti,Andaman And Nicobar Islands,Closed
2026-10-20,Dussehra,Andaman And Nicobar Islands,Closed
2026-11-08,Deepavali / Diwali,Andaman And Nicobar Islands,Closed
2026-11-24,Guru Nanak Jayanti,Andaman And Nicobar Islands,Closed
2026-12-25,Christmas,Andaman And Nicobar Islands,Closed
2026-01-14,Makar Sankranti,Andhra Pradesh,Closed
2026-01-26,Republic Day,Andhra Pradesh,Closed
2026-02-15,Maha Shivratri,Andhra Pradesh,Closed
2026-03-04,Holi,Andhra Pradesh,Closed
2026-03-21,Id-ul-Fitr,Andhra Pradesh,Closed
2026-04-03,Good Friday,Andhra Pradesh,Closed
2026-04-05,Babu Jagjivan Ram's Birthday,Andhra Pradesh,Closed
2026-04-14,Dr B R Ambedkar Jayanti,Andhra Pradesh,Closed
2026-05-01,May Day / Labour day,Andhra Pradesh,Closed
2026-05-27,Id-ul-Adha,Andhra Pradesh,Closed
2026-08-15,Independence Day,Andhra Pradesh,Closed
2026-08-25,Eid-e-Milad,Andhra Pradesh,Closed
2026-09-04,Janmashtami,Andhra Pradesh,Closed
2026-09-14,Vinayaka Chavithi,Andhra Pradesh,Closed
2026-10-02,Mahatma Gandhi Jayanti,Andhra Pradesh,Closed
2026-10-19,Durgastami,Andhra Pradesh,Closed
2026-10-20,Vijaya Dasami,Andhra Pradesh,Closed
2026-11-08,Deepavali / Diwali,Andhra Pradesh,Closed
2026-12-25,Christmas,Andhra Pradesh,Closed
2026-01-14,Makar Sankranti,Arunachal Pradesh,Closed
2026-01-26,Republic Day,Arunachal Pradesh,Closed
2026-02-20,Statehood Day,Arunachal Pradesh,Closed
2026-03-04,Holi,Arunachal Pradesh,Closed
2026-03-21,Eid al-Fitr,Arunachal Pradesh,Closed
2026-04-01,Annual Closing of Bank Accounts,Arunachal Pradesh,Closed
2026-04-03,Good Friday,Arunachal Pradesh,Closed
2026-04-15,Bohag Bihu,Arunachal Pradesh,Closed
2026-05-01,Buddha Pournima,Arunachal Pradesh,Closed
2026-08-15,Independence Day,Arunachal Pradesh,Closed
2026-10-02,Mahatma Gandhi Jayanti,Arunachal Pradesh,Closed
2026-10-19,Mahanavami,Arunachal Pradesh,Closed
2026-10-20,Dussehra,Arunachal Pradesh,Closed
2026-11-08,Deepawali,Arunachal Pradesh,Closed
2026-11-24,Guru Nanak Jayanti,Arunachal Pradesh,Closed
2026-12-01,Indigenous Faith Day,Arunachal Pradesh,Closed
2026-12-25,Christmas,Arunachal Pradesh,Closed
2026-01-15,Magh Bihu,Assam,Closed
2026-01-26,Republic Day,Assam,Closed
2026-03-03,Dol Jatra,Assam,Closed
2026-03-21,Eid al-Fitr,Assam,Closed
2026-04-03,Good Friday,Assam,Closed
2026-04-14,Bohag Bihu,Assam,Closed
2026-04-15,Bohag Bihu Holiday,Assam,Closed
2026-05-01,May Day / Labour day,Assam,Closed
2026-05-27,Eid al-Zuha,Assam,Closed
2026-08-15,Independence Day,Assam,Closed
2026-10-02,Mahatma Gandhi Jayanti,Assam,Closed
2026-10-18,Durga Puja (Maha Saptami),Assam,Closed
2026-10-18,Kati Bihu,Assam,Closed
2026-10-19,Durga Puja (Maha Ashtami),Assam,Closed
2026-10-20,Durga Puja (Maha Navami),Assam,Closed
2026-10-21,Janmotsav Sri Sri Sankardeva,Assam,Closed
2026-10-21,Vijaya Dashami,Assam,Closed
2026-11-08,Kali Puja,Assam,Closed
2026-11-24,Guru Nanak Jayanti,Assam,Closed
2026-12-25,Christmas,Assam,Closed
2026-01-26,Republic Day,Bihar,Closed
2026-03-03,Holi,Bihar,Closed
2026-03-04,Holi 2nd Day,Bihar,Closed
2026-03-21,Eid al-Fitr,Bihar,Closed
2026-03-22,Bihar Divas,Bihar,Closed
2026-03-27,Shri Ram Navami,Bihar,Closed
2026-04-01,Yearly Closing of Bank Accounts,Bihar,Closed
2026-04-03,Good Friday,Bihar,Closed
2026-04-14,Dr B R Ambedkar Jayanti,Bihar,Closed
2026-05-01,May Day / Labour day,Bihar,Closed
2026-05-27,Eid al-Zuha,Bihar,Closed
2026-06-26,Muharram,Bihar,Closed
2026-08-15,Independence Day,Bihar,Closed
2026-09-04,Shri Krishna Janmashtami,Bihar,Closed
2026-10-02,Mahatma Gandhi Jayanti,Bihar,Closed
2026-10-20,Maha Navami,Bihar,Closed
2026-10-21,Vijaya Dashami,Bihar,Closed
2026-11-08,Deepawali,Bihar,Closed
2026-11-15,Chhat Puja,Bihar,Closed
2026-11-16,Chhat Puja,Bihar,Closed
2026-12-25,Christmas,Bihar,Closed
2026-01-06,Guru Gobind Singh Birthday,Chandigarh,Closed
2026-01-26,Republic Day,Chandigarh,Closed
2026-02-01,Guru Ravidas Jayanti,Chandigarh,Closed
2026-02-15,Maha Shivaratri,Chandigarh,Closed
2026-03-04,Holi,Chandigarh,Closed
